疾病名称,病因
婴儿湿疹,"婴儿湿疹是什么原因引起的？
宝宝容易得湿疹的原因比较多，具体有以下几方面：
遗传因素：多项研究表明家族成员有过敏性疾病史，则婴儿更易患湿疹
[3,4]
。
皮肤屏障：婴儿的皮肤一般比较薄，皮肤锁水功能差，若不注意保湿，皮肤含水量下降、皮脂含量降低，导致皮肤保护能力下降，皮肤炎症容易发生。
免疫因素：食用或接触某些含过敏原的食物或物质引起过敏。生活中的炎热、风吹等环境易引起皮肤干燥，都可诱发或加重婴儿湿疹。
婴儿湿疹和遗传有关系吗？
湿疹这种疾病有一定的遗传性。如果家里有过敏性皮炎或者容易过敏的父母、兄弟姐妹，则宝宝也比较容易出现过敏性的皮肤疾病，包括湿疹。
婴儿湿疹会传染吗？
尚没有资料表明该疾病会传染。"
小儿鼻炎,"小儿鼻炎有哪些常见病因？
感染性鼻炎
的病因主要为感染，常见是病毒感染，其它还有细菌感染、真菌感染。
变应性鼻炎
主要病因为过敏原，导致季节性变应性鼻炎的常见过敏原包括树木、草皮和杂草花粉，以及室外霉菌。常年性变应性鼻炎最常与室内变应原相关，包括屋尘螨、蟑螂、来自家中被毛宠物的变应原、啮齿类动物，以及真菌。
非变应性鼻炎
的诱发因素有：刺激性气味和强烈的香味，如烟草烟雾、香水、酒精、汽车尾气，以及清洁产品、新印刷出来的纸和温度变化等。
小儿鼻炎会传染吗？
病毒导致的感染性鼻炎具传染性，会导致交叉感染，大部分病毒是通过接触、飞沫传播，少数通过空气传播。
因此，生病的孩子适当休息隔离，大家养成勤洗手，保证手卫生，保持良好的咳嗽礼仪（咳嗽、打喷嚏时对着肘弯处），可以减少病毒的传播。
小儿鼻炎会遗传吗？
如果是变应性鼻炎，其有一定的遗传机率。如果父母其中一方患有上气道过敏性疾病，则其子女患有变应性鼻炎的机率较大，如果父母双方均患有上气道过敏性疾病，则其子女患有变应性鼻炎的机率更大。"
新生儿黄疸,"新生儿黄疸时，皮肤为什么会变黄？
人类皮肤之所以会出现黄染，主要在于血液中有一种叫「胆红素」的物质超出了正常水平。
除了胆红素超标外，过量地摄入胡萝卜素（如胡萝卜、橘子等），也可能引起皮肤发黄，但较少发生，而且不属于黄疸。
新生儿生理性黄疸是怎么出现的？
黄疸的产生，跟胆红素的来源和运输过程直接相关。新生儿黄疸和新生儿的红细胞、肝脏、肠道功能的特殊性关系非常大。具体机制如下
[1]
：
胆红素生成过多
：红细胞是有寿命的，不断产生、分解之后可产生胆红素，新生儿的红细胞寿命更短（约 70～90 天，而成人为 120 天）、红细胞数量更多等使得胆红素产生过多。
胆红素排泄缺陷
：红细胞分解产生的胆红素就是间接胆红素，由肝脏「改造」成为直接胆红素才能被排出，当肝脏出现问题或发育不成熟时，间接胆红素就会因未经处理而无法排出，在身体各处逃窜。新生儿肝脏功能不成熟，从而导致它「改造」间接胆红素的能力低下，从而使胆红素排出缓慢。
肠肝循环
：简要来说，胆红素在随大便排出体外之前还有一部分会重新被回收到血液中去。新生儿往往由于肠道功能不完善，导致这部分回收的比成人多得多。
白蛋白功能差
：在胆红素的代谢过程中，白蛋白充当着卡车的角色，可把间接胆红素运送到肝脏进行「改造」。而新生儿体内的白蛋白能力和数量常不足，进而导致胆红素排出减少。
新生儿病理性黄疸发生的原因有哪些？
胆红素生成过多
：如红细胞生成过多或溶血，引起胆红素生成过多。最常见的是 ABO 溶血，其他还有如 Rh 溶血、G6PD 酶缺乏、红细胞缺陷等其他损害引起的溶血等，还有出血（如头颅血肿、颅内出血、内脏出血等）及感染（可导致红细胞破坏）等原因
[2]
。
肝脏处理胆红素能力下降
：例如新生儿肝炎、感染、窒息、缺氧、甲状腺功能低下等均可导致肝脏功能受损，胆管闭锁、药物损害等导致排泄障碍，这些都可以影响肝脏对于胆红素的处理。
肠肝循环增加
：如先天性肠闭锁、肠梗阻、母乳喂养、饥饿等，可能导致胆红素无法正常排泄，从而引起胆红素升高
[2]
。
母乳喂养会引起新生儿黄疸吗？
会。
母乳喂养引起黄疸的原因还未完全明确，目前较认可的是「新生儿肠肝循环增加学说」
[1]
：
单纯母乳喂养的新生儿，在出生后早期（最初 3～5 天）会由于母乳量摄入不足，使得胎粪排出延迟，从而导致胆红素排出减少，引起黄疸；
母乳中含有较多的 β—葡萄糖醛酸苷酶（β-GD），它会使得肠道中的结合胆红素被重新水解为未结合胆红素，进而被肝脏重新「回收」，使得肠肝循环增加，进而引起黄疸加重。
以上是主要的两个原因。
新生儿黄疸引起的胆红素脑病是什么？
我们大脑中有把「保护伞」，叫血脑屏障，它的作用在于限制某些物质进入中枢神经系统，以免对神经系统造成伤害。
但胆红素，确切说是游离胆红素也就是间接胆红素，它是被允许进入的。正常情况下，血液中游离胆红素含量不高，进入并不多，所以不会对大脑造成伤害。
但当出现重度黄疸时，大量的游离胆红素进入中枢系统；而胆红素对细胞是有毒性作用的，它可以损伤中枢神经系统细胞，进而引起了神经系统的功能障碍，如运动、听力、学习障碍等，这就叫胆红素脑病
[5]
。
新生儿黄疸引起的胆红素脑病容易发生在哪些患儿身上？
存在以下情况的患儿更容易发生胆红素脑病：
重度以上的高胆红素血症的患儿，具体是指血清总胆红素常在 342.2 umol/L 以上，即 > 20 mg/dl
[1]
；
虽血胆红素指标未达重度以上，但存在早产、缺氧、脱水、低血糖、感染、酸中毒等高危险因素者，也易发生胆红素脑病
[5]
。主要是因为这些情况下，血脑屏障的通透性会增高，胆红素进入更加容易。"
小儿腹泻,"小儿腹泻的原因有哪些？
感染性腹泻：
病毒感染：常见的病毒有轮状病毒、诺如病毒、肠道腺病毒、柯萨奇病毒等；
细菌感染：常见的细菌有大肠埃希菌、空场弯曲菌、耶尔森菌、沙门菌、金黄色葡萄球菌等；
真菌：如念珠菌、曲霉菌、毛霉菌、白念珠菌等；
寄生虫：如蓝氏贾第鞭毛虫、阿米巴原虫、隐孢子虫等；
药物因素：某些患儿因肠道外感染需长期、大量使用广谱抗生素时（如阿莫西林、罗红霉素等），容易引发肠道内菌群紊乱，使正常菌群减少，使病原菌（如耐药性金黄色葡萄球菌、白念珠菌等）大量繁殖，从而产生腹泻。
非感染性腹泻：
喂养不当：如喂养不定时、饮食量不当、过早添加辅食、突然改变食物品种、过早喂食大量淀粉类或脂肪类食物等；
过敏性腹泻：某些小儿对牛乳蛋白、鸡蛋、虾、蟹等食物过敏，也可能会引发腹泻；
乳糖不耐受：小儿乳糖酶缺乏或降低，可导致肠道对糖的消化吸收不良，从而导致腹泻；
气候因素：气候过冷时若小儿腹部受凉，可促使肠道蠕动增加，进而引发腹泻；天气过热时，小儿消化道的分泌液减少或因口渴饮奶过多，也可能会引发腹泻
[1]
。
为什么儿童更容易发生腹泻？
小儿较成人更容易发生腹泻的原因有多方面：
首先，小儿尤其婴幼儿的消化系统发育尚未成熟，消化酶的活力偏低，当不能适应食物的变化时，即可导致腹泻。
其次，小儿生长发育快，所需的营养物质相对较多，导致其胃肠道负担较重。
再次，小儿胃酸水平、血清免疫球蛋白（尤其是 IgM、IgA）较低、肠道菌群易失调，因此机体的防御功能较差，容易发生感染性腹泻
[1]
。
受凉、吃冷饮会导致腹泻吗？
这种情况并不总是发生，以前比较容易发生，很可能是由于过去的卫生条件较差，放的时间长而凉了的东西容易滋生细菌导致腹泻。
此外，受凉会导致胃肠道蠕动亢进，还没等水分被吸收完全，食物就被排到下一个流程了。
那为什么肚子着凉就会造成胃肠道蠕动亢进呢？
这跟消化道平滑肌的特性有关，和骨骼肌、心肌相比，消化道平滑肌的一个特性就是对温度变化和化学刺激很敏感。温度稍微有点变化，可能就会引起反应，造成胃肠道蠕动的紊乱，发生肠道的痉挛。而且不仅仅是着凉，包括吃冷饮，有些人也会发生腹泻。
所以，在卫生的情况下，个体的差异是主要因素，包括一些功能性疾病，比如肠易激综合征，可能容易出现上面的情况。如果吃冷饮后出现了腹泻，那么不吃或少吃便是了。
有时候儿童腹泻的大便呈绿色，这是什么原因？
如果是新生儿（出生后 28 天内的儿童）出现墨绿色的大便，算是比较正常的胎粪的颜色。
如果是婴幼儿、儿童、成年人，则多有可能是腹泻、或者其他原因导致的肠蠕动增快，大便中的胆汁成分本来应该是大部分被重新吸收回去，结果肠蠕动快了，就来不及吸收被拉出来，使大便呈绿色。
另外，进食了铁元素较高的奶粉或者辅食，以及进食较多绿叶蔬菜，也可以导致大便偏绿或发黑
[2]
。"
新生儿肺炎,"新生儿肺炎的病因是什么？
新生儿的肺炎从感染途径主要分为三种情况：
产前感染：因在子宫内误吸被污染的羊水、病原体通过胎盘从母体传播给胎儿。多在生后 24 小时内发病，出生时常有窒息抢救史。
产时感染：多由出生过程中吸入被污染的羊水或产道内分泌物导致，可于生后数天、甚至数周逐渐发病。
出生后感染：可由接触传播（接触呼吸道感染者）、血行传播（皮肤、血液感染）、医源性感染（医护人员护理不当、医用器械消毒不严格）等途径引起感染。
新生儿肺炎容易发生在哪些新生儿？
患儿母亲分娩前有发热、胎膜早破、羊水污染、泌尿系统感染病史。
出生后的新生儿有早产、低体重、先天性心脏病、窒息、免疫缺陷病、营养不良、遗传代谢病等高危因素。
生后生活环境较差、卫生条件不好、护理人员卫生观念不强。
新生儿肺炎有传染性吗？
所有的呼吸道感染都有经呼吸道传播的可能，但新生儿由于自身的生理特点，发生肺炎时，一般咳嗽症状不重，故传染性较小，但在一些特殊病菌如百日咳杆菌、呼吸道合胞病毒引起的肺炎，往往咳嗽症状较明显，经呼吸道传播的风险也较高，需做好接触隔离措施。
新生儿肺炎会由呛奶引起吗？
很多新生儿在吃奶过程中都会有呛奶的经历，如果吸入气道内的奶量不多，一般影响不大。但是这些气道内的奶可能是细菌生长的良好培养基，因此在呛奶后 1 周内要密切注意呼吸情况，若有不适应及时就诊，如果呛入气道内的奶量较多，尤其在该新生儿已有呼吸道感染基础或为早产低出生体重儿时，应立即到附近医院就诊，及时清理呼吸道，避免引起吸入性肺炎或进一步加重。"
鼻炎,"鼻炎有哪些常见原因？
鼻炎有多种类型，不同类型的鼻炎，病因不同
[1]
：
急性鼻炎：机体在烟酒刺激、慢性疾病和鼻腔疾病、内分泌失调等诱因影响下，抵抗力下降，病毒侵犯鼻腔黏膜导致炎症的发生。
变应性鼻炎（过敏性鼻炎）：与接触过敏原有关，过敏原与鼻黏膜接触时，会被过敏性鼻炎患者的免疫系统误认为是对机体有害的「外来入侵者」，从而对其发动了强烈的攻击，通过打喷嚏和流清水样鼻涕等方式，试图将这些「外来入侵者」排出体外。常见的过敏原有花粉、尘螨、动物毛发、霉菌等。过敏性鼻炎常和哮喘、湿疹同时存在，都跟过敏有关。
萎缩性鼻炎：鼻黏膜在长期的刺激下开始萎缩，导致功能减退。常见的刺激包括：有害粉尘、空气的物理刺激；慢性鼻炎、慢性鼻窦炎的脓性分泌物的长期刺激；多次或不适当的鼻腔手术导致鼻黏膜广泛损伤。
药物性鼻炎：鼻黏膜长期在某些药物的作用下，上皮细胞功能受到损害，导致鼻部的血管舒缩功能失调，从而引发炎症。长期过度使用鼻用减充血剂、抗抑郁药、抗高血压药等容易诱发药物性鼻炎。
鼻炎常见于哪些人？
机体免疫力低下或鼻腔有慢性病变的人群；
家族中有变应性鼻炎或自身有过敏史的人群；
长期处于粉尘、刺激性气体、化学物质等工作环境的人群；
长期过度使用鼻用减充血剂、抗抑郁药、抗高血压药的人群。
鼻炎是否会遗传？
大部分的鼻炎都不是遗传病，但是变应性鼻炎（过敏性鼻炎）有一定的遗传倾向。同一个患者可能既有变应性鼻炎又有哮喘，家族中若有成员患有过敏性疾病，则其患变应性鼻炎的风险要高于常人
[3]
。
鼻炎会传染吗？
慢性鼻炎并不会传染。
感冒导致的急性鼻炎，具有一定的传染性，不过这时候传染的是「感冒」病毒，而不是「鼻炎」本身。为避免染上感冒，需尽量减少和感冒病人的接触，勤洗手。"
手足口病,"手足口病是什么原因引起的？
引发手足口病的肠道病毒至少有 20 多种，包括柯萨奇病毒 A 组的 16、4、5、9、10 型，B 组的3、5 型，以及肠道病毒 71 型均为手足口病常见的病原体，重症病例多由肠道病毒 71 型感染所致
[1]
。
手足口病的传染源是什么？
人是肠道病毒的唯一宿主，传染源包括患者和隐性感染者（感染了病毒，但是没有出现症状）幼儿园易爆发流行
[1]
。
手足口病通过什么方式传染？
该病传播方式多样，以粪口途径传播为主。病毒可通过粪便污染手、毛巾、手帕、牙杯、玩具、食具、奶具及床上用品、内衣等，进而引起间接接触传播；
此外，患者咽喉分泌物及唾液中的病毒可通过飞沫传播；
还可通过水疱液传播
[1]
。
手足口病和宝宝经常吃手有关系吗？
因为手足口病主要是通过粪口途径传播，如果孩子的手接触了可引起手足口病的病毒污染的食具、奶具、玩具等，舔手可能感染本病
[1]
。因此与宝宝的手卫生、吃手习惯有关。"
痱子,"痱子是什么原因引起的？
常见的原因包括：高温湿热环境（最常见）、剧烈活动（如长跑、打篮球等）、发热性疾病（如中性粒细胞减少性发热）、皮肤闷捂（如衣服不透气、绷带包扎等）。
由于气温高、湿度大，出汗多且汗液又没有及时排出体外，滞留在汗腺导管，使皮肤的角化细胞水分过多，从而导致其肿胀并堵塞汗腺导管
[2,4]
。
此外，痱子的发生可能还受其他因素的影响
[2,4]
：
药物：如可乐定，阿托品等，影响交感神经系统，从而抑制出汗，引发痱子。
皮肤病：如葡萄球菌性烫伤样皮肤综合征，破坏皮肤表皮结构，也可能会引发痱子。
汗液盐分增加的疾病：如高钠血症，过量的盐分会直接导致角化细胞脱水，促进痱子的发生。
紫外线或电离辐射：放疗或紫外线会破坏汗腺导管，引发痱子。
皮肤菌群：如葡萄球菌大量繁殖，产生一种胞外多糖物质，促进痱子的形成。
皮肤浸渍：如涉水作业，小腿皮肤浸渍在水中，也可能引发痱子。
遗传病：如 Morvan 综合征，以多汗为特征，可引起痱子的发生。
痱子最常见于哪些人？
成人和儿童均可生痱子，但儿童更常见，尤其是婴儿。可能是婴儿出生后小汗腺导管发育不全或没有及时通畅所致
[2]
。此外，不同类型的痱子可常见于不同的人群。
晶形粟粒疹：多见于婴儿，在宝宝 1 周龄时高发，也常见于高热（口腔温度 39.1°C～41.0°C）并有长期卧床、身体虚弱、大量出汗者
[2,4]
。
红色粟粒疹：多见于幼儿、家庭妇女、高温作业者
[1]
。
深部粟粒疹：多见于反复发生的严重红色粟粒疹的患者，最常见于成年男性，特别是驻扎在热带气候区的军事人员
[2,4]
。
痱子会传染吗？
不会。没有资料显示痱子会传染。
痱子会遗传吗？
不会。没有资料显示痱子会通过基因或染色体遗传给下一代。"
抽动障碍,"抽动的病因是什么？
抽动障碍的病因和发病机制仍不十分清楚，与遗传因素
[5]
、神经递质失衡、心理因素和环境因素等方面有关，可能是多种因素在发育过程中相互作用所引起的综合征
[6]
。
容易诱发抽动障碍的社会心理因素有哪些？
在抽动障碍患儿中，第一次发作往往由严重的心理因素诱发。儿童在家庭、学校、社会生活中遇到管教过严，要求过于苛刻，超过了实际能力，或者经常受到家长及老师的惊吓或打骂等均可造成孩子的紧张与焦虑，进而导致抽动障碍。
抽动障碍会遗传吗？
会遗传。
基因遗传是发生抽动障碍的原因之一
[5]
，但到目前为止还没有发现哪个基因或哪些基因会引发抽动障碍。患者的生活环境和所处境遇对疾病的严重程度有很大影响。最适当的看法是基因和环境两者都是诱发抽动障碍的重要因素
[1]
。
抽动障碍可能由感染诱发吗？
反复呼吸道感染与抽动障碍的发病具有一定相关性。有研究结果表明，儿童抽动障碍发病及复发与病原微生物感染具有一定关系
[7]
。在非常罕见的案例中，某些链状球菌感染（A 组，β - 溶血性链球菌所导致的感染）后会有抽动突然发作。"
电解质紊乱,"电解质紊乱是什么原因导致的？
电解质紊乱常见的病因，包括：
饮食摄入不足
（比如无法进食或绝食、吞咽障碍、认知障碍进餐困难等）；
电解质丢失过多
（比如胃肠道疾病呕吐、腹泻，使用利尿剂、或是高血糖等小便增多，发热、急性或慢性感染，中暑、大量出汗，外科手术、创伤、失血、出血等）；
内分泌疾病
（比如抗利尿激素分泌不适当综合征、垂体功能减退、甲状腺旁腺疾病、醛固酮增多症等）；
慢性疾病
（比如肾功能衰竭、肝硬化、心功能衰竭等）、遗传性疾病（比如巴特综合征等）。
电解质紊乱容易发生在哪些人？
饮食摄入不良者，新生儿、婴幼儿、老年人，伴有有慢性疾病的患者，伴有内分泌疾病的患者，处于急性感染、创伤、手术等状态的患者容易出现电解质紊乱。"
