疾病名称,简介
婴儿湿疹,"婴儿湿疹是什么病？
婴儿湿疹是小儿皮肤科常见病和多发病，民间通常把婴儿湿疹俗称为奶癣，但实际上它并不是一种由真菌感染导致的癣菌病。是一种比较常见的发生在婴儿身上的皮肤病，它的病因复杂，可能与婴幼儿皮肤屏障功能差、接触过敏原、皮肤过于干燥等因素有关。湿疹可导致皮肤瘙痒，引起婴儿哭闹不安，影响食欲、睡眠和身体发育。
有些宝宝还会搔抓，造成继发感染。家长会观察到宝宝湿疹部位皮肤粗糙、变红，有一片一片的疹子，有些宝宝的湿疹部位皮肤会潮湿，或者有一些水样的液体渗出。
70% 左右的宝宝湿疹会在 2 岁前完全好转，90% 左右的宝宝会在学龄期前完全好转，但也有一小部分婴儿湿疹会延续到成年。
图片来源：编辑
婴儿湿疹病常见吗？
有研究表明，婴儿湿疹患病率为 53 %，也就是差不多每两个孩子就会有一个患或曾患湿疹
[2]
，好发年龄为 1～3 月，1 岁半后大多逐渐自愈。"
小儿鼻炎,"小儿鼻炎是什么病？
小儿鼻炎（Rhinitis in children）指鼻腔粘膜和粘膜下组织的炎症，特点是具有一种或多种下列症状：鼻痒、鼻塞、打喷嚏、流鼻涕。
小儿鼻炎常见的形式有变应性鼻炎（过敏性鼻炎）、非变应性鼻炎和感染性鼻炎（急性上呼吸道感染、急性鼻炎、感染性鼻-鼻窦炎）。
急性上呼吸道感染，常常称为普通感冒，又称为急性鼻炎，但也可能包括鼻窦粘膜的侵犯，所以用「鼻-鼻窦炎」一称更准确。
小儿鼻炎的处理原则是明确病因，针对病因进行治疗：
变应性鼻炎避免接触过敏原，结合二代抗组胺药或鼻用激素治疗；
非变应性鼻炎建议鼻内糖皮质激素联合鼻内抗组胺药治疗；
感染性鼻炎多为病毒感染，有自限性，可以自愈；少数情况鼻-鼻窦炎可以继发细菌感染，需要抗生素治疗，可以是青霉素类或头孢类；等等。
经过合理的治疗，小儿鼻炎的预后良好，变应性鼻炎在规范治疗和护理下也能得到控制。
小儿鼻炎常见吗？
小儿鼻炎常见于各年龄段，冬春季节高发。
小儿过敏性鼻炎较常见，在美国和其他工业化国家，儿童和成人的患病率为 10%～30%，但本病在 2 岁以下的儿童中少见。
目前人们对儿童非变应性鼻炎患病率的研究还不太充分。
感染性鼻炎各个年龄段均易发生，也可以发生于全年的任何时间，但一般在秋冬季节的患病率较高。
鼻窦炎和鼻炎是同一种病吗？
一个或多个鼻窦发生炎症称为鼻窦炎，累及的鼻窦包括：上颌窦、筛窦、额窦和蝶窦，而鼻炎是指鼻腔粘膜和粘膜下组织的炎症。
但是鼻窦炎和鼻炎并不是同一种疾病。两者虽然都有鼻塞、流涕等表现，但两者发病部位不同，鼻窦炎的发病部位在鼻窦，鼻炎发病部位在鼻腔。
不过它们的关系非常密切，两者可相互影响、相互并发，如鼻炎可诱发或加重鼻窦炎，反之亦然。而鼻窦炎几乎都会伴有鼻黏膜炎症，所以常常用「鼻-鼻窦炎」一称。
小儿鼻炎有哪些类型？
最常见的小儿鼻炎形式是：
变应性鼻炎
，
非变应性鼻炎
和
感染性鼻炎
（包括急性上呼吸道感染，也称感冒或急性鼻炎，和感染性鼻-鼻窦炎）。
变应性鼻炎
主要是由于接触过敏原引起的，又称过敏性鼻炎。
非变应性鼻炎
常常由于某种气味，如烟草、酒精挥发气味、汽车尾气等刺激性、浓烈气味诱发，甚至温度变化都可诱发。多呈慢性病程。
非变应性鼻炎有许多同义词，包括：特发性鼻炎、非变应性非感染性鼻炎、内源性鼻炎、血管运动性鼻炎或非变应性血管运动性鼻炎。
感染性鼻炎
：
急性上呼吸道感染
/
急性鼻炎
/
急性鼻-鼻窦炎
是一种轻度的病毒感染性疾病，其病程具有自限性，一般来说，婴幼儿病程在 10～14 天，较大儿童在 5～7 天。
急性细菌性鼻-鼻窦炎
，少数病毒感染性鼻炎可继发细菌感染，需要抗感染治疗。
真菌感染导致的鼻-鼻窦炎，还有慢性鼻-鼻窦炎在儿童中均少见，在此暂不论述。"
新生儿黄疸,"新生儿黄疸是什么？
新生儿黄疸也称「新生儿高胆红素血症」，几乎所有新生儿都会出现血清或血浆总胆红素（total bilirubin，TB）水平高于 1 mg/dL（17 µmol/L）的情况，该值是成人正常值的上限。随着 TB 的增高，会产生新生儿黄疸，即因胆红素沉积引起的皮肤和（或）结膜黄染
[1]
。
新生儿由于其自身胆红素代谢能力的不足，通常在生后 1～2 周内，血液中总是会出现一定程度的胆红素的蓄积，就新生儿而言，血中总胆红素值 > 5～7 mg/dl 时，我们就能够用肉眼看到皮肤黄染（即黄疸）。
新生儿黄疸是怎么分类的？
根据病因不同，新生儿黄疸可分为：
生理性黄疸
：也称作「非病理性高胆红素血症」，属于正常情况下出现的黄疸，是一种生理现象，不会对新生儿造成伤害，不需要处理。在新生儿时期，当血清胆红素值＞85 μmol/L 时肉眼即可观察到皮肤黄疸，即为生理性黄疸
[2]
。一般在新生儿出生后 2～3 天出现，4～6 天达到高峰，7～10 天开始逐渐消退
[1]
。
病理性黄疸
：也称作「非生理性高胆红素血症」，由各类病理性因素引起的黄疸，如母乳性黄疸、新生儿肝炎综合征等，具体情况如下
[2]
：
日龄不足 24 小时出现黄疸，血清总胆红素（TSB）＞102 μmol/L；
足月儿 TSB＞220.6 µmol/L，早产儿 TSB＞255 μmol/L；
血清结合胆红素＞26 µmol/L；
TSB 每天上升＞85 μmol/L；
黄疸持续时间较长，超过 2～4 周，或进行性加重。
新生儿黄疸常见吗？
常见。
新生儿黄疸是新生儿时期常见的症状之一，流行病学研究显示，新生儿黄疸的发病率可达 345／10 万～566／10 万以上，正常情况下，足月儿中约有 80% 可肉眼观察到黄疸
[3]
。"
小儿腹泻,"什么是儿童腹泻？
小儿（一般指年龄小于 3 岁的儿童）腹泻也叫腹泻病，主要症状和成人一样，就是「拉肚子」「拉稀」，在医学上是指大便性状有改变，呈稀便、水样便、黏液便或脓血便，不管有没有大便次数增多
[1]
。
小儿腹泻是由多种因素引起的，比如饥饿或过度喂养、饮食不卫生、食物过敏、乳糖不耐受、病菌或病毒感染、抗生素引起肠道菌群紊乱等。其中六个月至两岁的婴幼儿最容易发生小儿腹泻
[1]
。
儿童腹泻有哪几种类型？
根据引起腹泻的原因不同，可以将腹泻分为感染性腹泻和非感染性腹泻：
感染性腹泻：由病毒（如轮状病毒、诺如病毒等）、细菌（大肠埃希菌、沙门菌等）、真菌（念珠菌、曲霉菌等）、寄生虫等感染所致，也可能是服用了抗生素（如阿莫西林、青霉素等）治疗导致。
非感染性腹泻：主要由于喂养不当、牛奶或大豆制品过敏、乳糖不耐受、气候突然变化所致。
根据腹泻病程（持续时间）的长短可以分为急性腹泻、迁延性腹泻和慢性腹泻：
急性腹泻：为持续时间在2 周以内的腹泻；
迁延性腹泻：为持续时间在2 周到2 个月内的腹泻；
慢性腹泻：为持续时间超过2 个月的腹泻
[1]
。
什么是轮状病毒腹泻？
轮状病毒是引起秋、冬季婴幼儿腹泻最常见的病原体，故曾被称为「秋季腹泻」。轮状病毒一般经粪 - 口传播，也可通过气溶胶等形式经呼吸道感染而致病。
轮状病毒腹泻患者的大便为黄色水样或蛋花汤样，或带少量粘液，症状的平均持续时间为 8 日。不过，轻症可能时间更短，仅持续几日，如果持续时间长则可发生迁延性疾病。
轮状病毒腹泻常并发脱水、酸中毒和电解质紊乱。轮状病毒感染也可引起惊厥、心肌损害（验血发现心肌酶升高）等消化系统以外症状
[1]
。
什么是生理性腹泻？
生理性腹泻多见于六个月以内的婴儿，即出生后不久出现腹泻，除大便次数增多外，无其他症状，食欲好，不影响生长发育。常有湿疹。生理性腹泻的机制目前并不清楚，在添加辅食后，有些婴儿的大便会逐渐正常
[1]
。
什么是过敏性腹泻？
人体的肠道内存在大量外来的物质（抗原）：细菌、病毒和食物，肠黏膜通过免疫性机制构成「黏膜屏障」，可阻止抗原进入体内或控制机体对侵入抗原的免疫反应。如果这些粘膜屏障作用减弱或丧失，抗原便进入人体内，引起过敏性腹泻。
过敏性腹泻属于食物过敏症，常见于牛奶、蛋类、花生或木本坚果（如榛子、核桃、巴旦木等）、小麦、大豆、海鲜（如虾、螃蟹）等等。血清中可检测出相关抗体，斑贴试验、激发试验阳性，可以帮助判断
[1]
。
当然了，如果日常生活中发现孩子的某些症状与进食某些或某个食物相关，停食后症状改善，那么这种规律也可以作为判断孩子过敏的依据（建议家长记录连续 2 周的饮食日记）。"
新生儿肺炎,"新生儿肺炎是什么病？
新生儿肺炎是新生儿在子宫内、分娩过程中或出生后感染细菌、病毒、真菌、原虫等病原导致的肺部炎症，是新生儿的常见病，也是引起新生儿死亡的重要原因。
在医院条件好的地区，及时发现并积极治疗，大多数新生儿的结局良好，对生长发育几乎无影响。但新生儿肺炎的预后取决于疾病的严重程度、患儿的胎龄、基础疾病以及导致感染的微生物种类。死亡率增加与早产、先天发育不良或免疫缺陷有关。"
鼻炎,"鼻炎是什么？
鼻炎是指发生在鼻腔黏膜处的炎症反应，是一类较为常见的疾病，主要表现为鼻痒、鼻塞、打喷嚏、流鼻涕等
[1]
。
根据鼻炎起病的快慢、疾病持续时间的长短，可以将鼻炎分为急性鼻炎和慢性鼻炎
[1]
。引起鼻炎的原因有很多，比如病毒和细菌的感染、过敏、药物、毒物刺激等。
鼻炎以药物治疗为主，不同类型的鼻炎，在检查和治疗上都有差异，预后也有所不同。
鼻炎有哪几种类型？
根据鼻炎起病的快慢、疾病持续时间的长短，可分为急性和慢性两大类鼻炎，慢性鼻炎中较为常见的有变应性鼻炎（俗称过敏性鼻炎）、萎缩性鼻炎和药物性鼻炎
[1]
。
急性鼻炎：是由病毒感染所引起的鼻炎，常常会在病毒感染的基础上继发细菌感染。一年四季均可发病，冬季时更多见。
变应性鼻炎（过敏性鼻炎）：由于鼻黏膜在接触到某些过敏原（如花粉、尘螨等）后发生的慢性炎症反应，一般在脱离过敏原后，症状可自行消失。常与支气管哮喘同时存在。
萎缩性鼻炎：由于长期的刺激导致鼻黏膜萎缩，严重者还会导致黏膜下的鼻甲、鼻腔骨质等也发生萎缩。
药物性鼻炎：长期过量使用鼻用减充血剂、抗抑郁药、抗高血压药等引起的鼻炎，一般停止用药后症状会有所缓解。
鼻炎常见吗？
十分常见，绝大多数人其实都经历过急性鼻炎。急性鼻炎其实就是我们日常所说的「感冒」，是由病毒感染导致的鼻痒、鼻塞、打喷嚏、流涕等不适症状
[2]
。
在普通人群中，变应性鼻炎的患病率为 10%～25%
[1]
。意味着每 100 个人中就有 10～25 个人患有变应性鼻炎。
鼻炎应该去哪个科室就诊？
耳鼻咽喉科。"
手足口病,"手足口病是什么？
手足口病（hand foot and mouth disease，HFMD）是由多种肠道病毒呼吸道病毒引起的急性传染病。主要表现为手、足、口和肛周皮肤小疱疹或小溃疡，同时还会出现口腔、咽喉部疼痛，发热等症状
[1]
。
大部分患者经过治疗后，一周左右时间可以痊愈，但也有少数患者会出现心肌炎、肺水肿、无菌性脑膜炎等并发症，个别病例病情发展快，出现神经源性肺水肿，甚至导致死亡
[1]
。
手足口病一年四季均可发生，夏秋季节多见，但部分地区亦可出现秋冬的小高峰，潜伏期一般为 3～5 天，没有明显预兆。
手足口病常见吗？
手足口病每十万人约有 37～205 人患病，近年报告每十万人约有 6～51 人因手足口病死亡
[1]
。
手足口病的好发年龄是多少？
多发生于二至十岁儿童，尤以五岁以下年龄组发病率最高
[2]
，成年人少见。
手足口病也会发生在成年人身上吗？
成年人也会患手足口病，表现也与儿童感染手足口病类似，但是累及神经系统或出现肺水肿等严重情况的极少见，主要表现为皮肤疱疹及低热
[1]
。成年人一旦感染，症状较重。"
痱子,"痱子是什么病？
痱子又称粟粒疹，也称为汗疹、热刺或热疹，是夏季或炎热环境下比较常见的一种短暂性皮肤病
[1]
。
由于高温闷热，出汗多，汗液排出不畅，汗腺导管被角蛋白堵塞，汗液外溢渗入并刺激周围组织，然后在汗孔处出现丘疹、丘疱疹或小水疱
[1]
。
成人和儿童均可生，但儿童更常见，尤其是婴幼儿。一般只要保持环境凉爽，皮肤清洁干燥，痱子会自己痊愈
[2]
。
有瘙痒或症状重一点，可以用凉或冷水外敷、炉甘石洗剂外涂缓解症状。若是发热（孩子的肛温超过 37.5 °C）或发生皮肤感染（皮肤可能会出现局部发热、发红、疼痛等症状），则要去医院就诊
[3]
。"
抽动障碍,"抽动障碍是什么？
抽动障碍又称抽动症，也称面部肌肉抽搐和声带抽搐综合征（Tourette Syndrome, TS），是一种神经系统疾病。
罹患这种病的儿童、青少年和成人往往会发出和做出他们自己不想却不能控制的声音和举动。这种举动在医学上称之为抽动。
本病大多发生于儿童和少年时期（平均起病年龄为 7 岁）
[1]
，男性多于女性，主要表现为身体的任何部位出现突发、重复性、无节律且快速的不自主肌肉抽动，有的人发作时还会不自觉地发出单调怪声等。
患有抽动障碍的人群会因为来自外界的压力，出现「羞愧」、「自责」等感受。此时更需要来自周围人的支持与鼓励。请不带偏见地和他们相处，也请尊重他们，不散播他们的隐私。
是否需要采取治疗手段，取决于抽动症状的严重程度。目前常用的治疗方法有药物治疗和心理治疗。随着年龄的增长和大脑发育的逐渐改善，症状可减轻或缓解，大多数患者预后良好，智力和寿命一般不受影响
[2]
。
抽动障碍常见吗？
抽动障碍在 4～12 岁人群中极为常见
[3]
。流行病学研究表明，其患病率约为 0.52%，也就是说每 10000 人中约有 52 人患有抽动障碍
[4]
。
抽动和抽筋一样吗？
不一样。
医学上抽动指抽动障碍，而我们常说的抽筋则是指肌肉突然收缩，一时无法放松的现象。
抽动障碍有哪些类型？
抽动障碍主要有以下几个类型：
一过性抽动障碍：
常在 3 岁后起病，是最常见的较轻的一种类型。
表现为简单的运动抽动，首发部位为面部五官、颈、肩的交替抽动，如挤眼、皱眉、撅嘴、龇牙、伸颈、耸肩等。
抽动多随情绪紧张或有躯体疾病（如感染、发热、外伤等）时加重，放松后则会减轻，入睡后消失
[1]
。
慢性运动性抽动或发声抽动：
症状已经累及四肢、躯干，症状发生频繁，病程持续往往超过 1 年。
此类型已经严重影响到孩子的学习和生活。
发声与多种运动联合抽动障碍：
又称抽动秽语综合征，孩子常由面部轻微抽动开始渐渐波及颈、肩、四肢、躯干，可形成多部位复杂的抽动，部分出现抽动与突然冲动性动作、发声抽动与运动抽动同时存在。
病程缓慢，症状反复，发作频繁，对患儿身心影响很大。"
电解质紊乱,"电解质紊乱中的电解质是什么？
《红楼梦》中的贾宝玉说「女儿是水做的骨肉，男人是泥作的骨肉」，其实他只说对了一半，不管男性、女性水都占到了人体体重的一半以上（55%～60%）。
人体内的水中富含一些重要物质，比如钠、钾、钙、镁、氯、碳酸氢根、磷酸氢根等，这类溶解在水里的物质又被称之为电解质。
电解质紊乱是什么？
正常情况下人体内电解质成分是稳定的，保持平衡状态，这是人体各个部位、组织、器官、细胞正常运转所必须的生命基础。
当出现饮食摄入不足、呕吐、腹泻、某些遗传性疾病、内科疾病、外科创伤或手术等状态时，水中的部分电解质出现紊乱失衡，不再处在正常范围内，这就是电解质代谢紊乱（electrolyte disorders），也称电解质紊乱，或电解质失衡。
电解质紊乱有什么危害？
电解质紊乱根据程度可以分为轻度、中度、重度紊乱，对于重度的紊乱可能危及生命。
根据紊乱出现的时间，分为急性和慢性，急性的紊乱往往症状更为严重；根据紊乱情况，分为单纯型（比如只有钠的异常）和混合型（比如同时出现钠、钾等多个电解质的异常）。
电解质紊乱的表现，因具体电解质紊乱的情况各有不同，比如钠紊乱、钾紊乱或钙紊乱等，紊乱的电解质不同表现就各有特点，引起电解质紊乱的病因不同，表现也是各有差异。
电解质紊乱怎么治疗？
婴幼儿、老年人、具有慢性疾病的人群容易出现电解质紊乱。
治疗方面只要是要查找到导致电解质紊乱的病因，针对病因治疗才能很好地解决问题，如果暂时不能查找到原因，或是病情危重，或是生命受到威胁的情况下，也可以先采取「多退少补」的原则，比如出现高钙的时候先采取必要的措施把钙降下来，出现低钾的时候先采取措施把钾补上去等。
对于导致电解质紊乱的原因明确，如果病因能够祛除，则紊乱就能被治愈，如果病因不能祛除或是原因不明，则紊乱可能会长期存在，需要定期复查，长期给与治疗，这种情况对健康和生活质量会带来一定的影响。
电解质紊乱常见吗？
电解质紊乱比较常见。
很多疾病都会伴随出现电解质紊乱，比如感染发热、恶心呕吐、创伤、手术、胃肠疾病、肝病、脑部疾病、内分泌性疾病（比如甲状腺疾病、甲状旁腺疾病、肾上腺疾病、垂体病变）等，都可能伴随出现一种或多种电解质紊乱。
电解质紊乱和酸碱平衡紊乱是同一种病吗？
酸碱平衡紊乱和电解质紊乱不是同一种疾病，但是两种疾病常常可以同时一起出现。
人体的血液有一定的酸碱度，医学上又称之为 pH 值，正常在 7.35～7.45，通常是抽取动脉血进行血气分析来进行判断，如果低于 7.35 则为酸中毒，如果高于 7.45 则为碱中毒。
电解质紊乱则主要是进行静脉血抽血化验电解质，如果钠、钾、钙、镁、磷、氯等其中一种或是多种电解质出现异常，不在正常范围之内，就表示存在电解质紊乱。
某些疾病可以同时出现电解质紊乱和酸碱平衡紊乱，比如糖尿病酮症酸中毒，可以同时出现酸中毒和钾钠低的情况。
电解质紊乱有哪几种类型？
电解质紊乱主要根据发生紊乱的电解质的情况分为低钠血症、高钠血症、低钾血症、高钾血症、低钙血症、高钙血症、低镁血症、高镁血症、低磷血症、高磷血症等。"
